sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
814.5437@14.439534,103964,102325,93290,70568,63846,60705,85612,87818,79363,119729,73693,73504,73058,77098,70115
518.397@14.437537,683127,635188,630350,513238,446193,1,365882,335106,296213,381087,248415,327083,455838,282817,1
526.4571@14.444416,61874,46600,41554,15609,38915,45239,35002,34910,1,1,15284,18095,28495,1,47370
398.3759@14.442532,138737,155248,182283,189030,185032,134873,193628,232458,216909,183458,301392,204464,185577,201886,205432
438.3705@14.4436,96951,108190,123354,98415,96896,99599,98937,102441,103608,126962,81477,91242,107094,115964,107143
450.3706@14.442936,1870187,2100395,2035793,1907821,1821456,1705498,1783910,1784655,1695715,1902270,650813,791958,1856464,1785463,1761430
511.2607@14.437143,1498040,1115718,1282718,1669001,1679082,1776838,1990761,1727193,1694137,2429502,995363,676212,2419778,1,1012188
482.3954@14.439535,53460,41838,45818,44112,38968,46416,17933,37791,40520,63776,32953,28088,43281,50177,49347
416.3125@14.462752,233411,1,238568,150974,124630,110449,90709,1,129911,97819,1,178509,39561,47394,45995
372.3052@14.461072,126529,156596,137423,80694,79449,56429,55296,74505,75984,1,154555,77053,18865,22712,23210
310.2875@14.459867,1163166,1485505,1369569,803783,683320,517601,407614,612360,629012,451276,1282551,640886,171687,197664,200511
614.5114@14.467134,183065,156477,143825,139568,128872,116984,144664,150687,152957,109668,37703,76410,170114,176225,158643
504.3676@14.466461,30451,35865,29360,21499,20894,16395,13522,1,21907,15046,40604,19210,1,14667,22471
436.3552@14.4541445,86090,98543,105949,92052,94681,90735,104801,101800,92638,92279,1,55213,108425,111455,106571
986.6172@14.463598,73868,69577,56134,74266,61731,60263,82805,73207,68617,159029,86143,55585,65059,72240,65938
398.3399@14.468667,143048,163458,155474,116492,104323,85672,90224,116196,96920,80131,135831,72617,88643,75480,82729
494.3971@14.4727335,1880621,1826712,1932365,1749682,1670937,1699350,1711955,1668507,1636477,1861127,1261368,863171,1669236,1729547,1649829
942.5913@14.481733,58624,52188,48303,34428,31842,31044,52386,48940,46285,75194,40417,39476,50299,54571,49790
462.371@14.480399,347204,360275,372340,328417,324199,288321,273609,330232,306256,324647,223608,174883,343853,334566,313230
742.4866@14.484199,170218,128719,143631,34032,49356,46240,56283,64869,60189,59788,51890,74090,73081,72538,65398
312.3028@14.487715,154165,195321,178982,1,121624,88117,199833,296030,287582,228913,547718,344090,56808,58852,68004
614.4526@14.492001,502280,520787,498037,256387,249710,254293,150714,207870,160498,120557,149706,179983,210199,169905,270023
