Sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
422.5264@7.867714,40103,31318,35692,39617,31910,43102,16792,1,19886,47314,18150,41094,35328,35313,40667
428.1832@7.86775,72760,47977,52508,1,58873,67880,31537,1,1,67866,32956,66607,56699,53995,58409
1245.5989@7.8682666,3201402,2418725,2498452,2851783,2736574,2939940,1477784,1424519,1443279,3359362,1402266,2782759,2735164,2426796,2525856
427.8488@7.8685,100825,72168,76720,87384,77346,94429,42394,49635,43519,99525,1,86289,85119,80102,89815
1298.5114@7.867786,1,56808,61544,76682,75817,75033,30061,30592,27633,91688,35557,77683,70932,65716,79000
432.8376@7.8678465,34855,30807,25544,27399,26234,23598,17844,12456,1,34452,1,27008,27389,26151,30644
863.4009@7.8834667,1675541,1464623,1495800,2408984,2244127,2359312,2168819,2091189,2218575,70721,39224,57343,103356,130148,109005
189.0784@7.8926425,40802,39602,49703,42329,37406,42503,60424,58630,70870,27436,23108,38164,37672,28518,1
156.0779@7.9005,56221,57238,44476,1,22373,23909,29123,32052,1,42457,1,33384,35011,42184,38657
214.1202@7.9002666,523454,507575,439843,249296,192533,221105,310476,302247,299674,463341,307969,309235,355591,378444,323633
232.1305@7.9001336,1674544,1370332,1379879,763813,526461,580694,899591,808024,816746,1378829,816781,987314,935217,1139743,994641
330.1062@7.903428,115686,100480,94614,54303,1,48382,65329,60413,68479,89886,67387,67697,70649,89668,75967
345.0698@7.901072,45592,40909,41493,1,17038,18135,28505,25066,21655,33843,26058,25112,29223,38450,31247
270.0792@7.900818,41620,43491,1,1,1,18549,22099,26675,15912,38888,27375,31682,1,34077,29004
185.1412@7.8979235,145064,127723,119850,1,135902,163710,132034,159302,175176,163172,171963,149337,112010,1,171503
345.0698@7.991167,28286,26166,22003,12178,1,1,13936,13334,1,19290,14418,11811,16264,18189,19721
330.1065@7.9909286,61927,44978,46992,25165,1,27607,28999,34274,29741,48307,31207,32542,31759,41955,36608
232.1305@7.9933996,811761,747165,605269,307230,247691,306404,405097,390597,389764,591043,362490,364721,421220,494882,455374
214.1202@7.9923997,248919,224969,173777,103765,86926,88274,142348,138144,142145,214063,137493,124967,152185,167977,161890
270.1462@7.996934,70381,73086,57909,37898,27525,29402,46955,50302,43719,74311,42027,47339,51267,52226,45601
156.0779@7.994636,37764,1,38684,1,13588,14512,24520,21179,1,38157,1,22836,28018,28633,24214
332.1281@8.038334,104517,92720,94497,46525,39414,55059,53371,53740,57911,58373,50342,65810,60205,59755,58946
138.1039@8.038,519504,464833,486788,180365,164078,172698,217217,205969,206707,304459,214363,278084,262419,250412,247828
272.0949@8.038334,194193,159981,187056,72541,65117,77143,83794,79218,87156,109715,87928,111864,93263,114773,104804
156.1145@8.038134,1237088,1116694,1166988,427378,390306,415047,537427,508124,515354,716038,522465,657338,629027,636105,612429
174.1253@8.038934,1742616,1370334,1575099,515854,468711,571506,629472,653209,743806,832328,614327,851258,717020,854540,815912
347.0946@8.037499,38067,27803,34981,16341,14226,16587,18296,20891,17791,21505,18572,19028,21872,1,24559
216.1466@8.037749,54017,47718,51085,18747,15396,1,1,19050,22449,1,20572,32437,28043,30207,27688
208.0728@8.071273,1,1,1,31807,33201,39158,20129,19464,22437,19581,1,15631,57586,69009,53565
420.2332@8.146251,46391,37921,42231,1,32279,34809,40232,34174,39439,1,1,26165,39383,42035,47852
186.1187@8.1482,415302,599690,711427,301746,628301,344521,405904,307601,251138,225552,158330,179353,513246,372133,363022
270.1463@8.157143,73826,64741,62355,25430,23496,24745,41930,35447,36260,42735,1,28595,45441,46722,44257
214.1202@8.172929,53679,60228,50008,23487,23308,28554,24581,23151,20316,1,53313,91022,72099,64723,57572
232.1305@8.181643,155388,122181,137551,66820,54672,66091,48372,1,44076,153508,134586,306687,151922,169173,171893
122.0729@8.202546,24549,26494,23376,17988,1,1,28753,21901,22649,34017,1,16781,1,26551,26277
186.0884@8.204533,127610,111641,86117,101561,63050,61886,134700,121665,93427,166701,31667,43619,107207,114415,94189
415.3077@8.2065,42876,37248,39039,37558,33891,38555,36043,34468,36416,16279,1,18911,38222,41327,35307
226.1201@8.206077,69223,45782,183570,72305,42853,1,71686,78996,21777,35822,75150,105916,77934,91983,1
301.225@8.216534,42420,34694,43748,74985,67035,69928,127114,119948,121274,138999,93566,121649,72060,77570,75136
258.1464@8.216462,59826,57347,30639,40815,20768,32402,37310,1,1,152739,89176,59654,74274,107141,74564
298.1393@8.233384,59487,52828,35593,40724,20800,29118,1,28172,26927,73533,1,85665,72273,121188,90758
619.285@8.2535715,119059,88371,111560,97003,78797,80298,43515,40918,46021,32535,1,33262,38837,43843,46406
245.1625@8.265499,44272,1,42574,23088,37290,1,41450,1,33073,70156,40148,16403,67940,72615,50683
260.1366@8.2682,180768,197683,193967,113078,97245,101337,138537,108226,166359,317336,144027,39768,238348,388600,259715
200.1042@8.2668,400863,327174,915395,467703,385139,443759,586555,504428,775242,1305516,616109,270939,459957,1976968,1323317
217.1309@8.268801,348177,350568,289647,169059,131458,125750,220659,181328,244006,508779,242672,98619,489908,629751,393151
286.0768@8.282467,169961,148165,180968,32797,41728,47889,48807,52730,59150,28361,35052,81968,62894,56718,76543
188.1044@8.283401,2467513,2038790,2714673,393413,512099,546304,632580,667669,795177,397880,144600,1141340,906956,827371,939449
346.1129@8.2830715,80935,83214,85222,27342,31884,32565,38772,34745,37618,1,29223,54646,48976,39698,46864
301.0392@8.283571,76750,62798,88897,11063,19437,19435,19172,20911,24262,1,17690,29662,27825,28901,32453
248.1369@8.2829,65830,47944,62551,1,1,1,15251,15278,17194,1,1,26142,20255,18571,24380
138.0676@8.2886,174745,148336,184402,1,37126,40745,1,1,1,29871,1,86809,74987,61923,67615
140.0832@8.344308,56209,56767,53481,26192,18142,17607,1,29741,1,44005,33450,33684,40582,35798,40181
478.2088@8.345092,19273,18770,18295,1,1,1,11812,10877,14931,16737,1,17690,16597,17731,21895
624.3091@8.344615,71547,55635,69025,1,1,14285,18227,17995,18590,46620,21128,38700,27958,41754,33319
155.0548@8.3446,1,78752,1,33129,33323,33043,42325,46084,44341,1,51374,60874,47562,1,1
122.0729@8.3446,120101,118497,113218,48517,43039,47856,56330,52484,54027,96066,64177,75984,83906,85138,72978
372.1671@8.345067,43579,41317,48823,21406,17064,24723,24604,24935,22176,35740,28901,31739,35381,42919,37916
343.0841@8.3449335,91316,83529,88859,35149,31001,35358,42558,43588,41519,62480,53285,54182,56427,63236,63537
403.1158@8.346201,43404,39388,38611,18348,18880,17217,22768,21814,21178,31806,26065,28624,28777,29884,32006
356.1613@8.344501,41787,35216,39709,17434,1,1,16254,18551,1,26062,20866,27275,20915,26473,25957
272.1619@8.223667,113992,98653,85721,106982,61473,62937,124880,106903,104374,155639,1937909,2305336,103787,117107,99615
335.2304@8.345155,200105,330573,168055,1,114931,1,113927,93149,66895,170955,106591,124769,159989,118640,104471
290.1727@8.345134,5941732,4966534,5602459,1860465,1617049,1887388,2399351,2312179,2502101,3872595,2756149,3497175,3136992,3703398,3546082
388.1435@8.345333,345945,314792,341137,147847,143669,153467,182548,180010,181063,262498,210786,246359,229336,245115,261149
254.1511@8.344868,257739,250169,210766,87956,104537,84617,112382,103446,119214,173365,154543,153222,149270,173634,144852
633.2595@8.344833,54949,49721,48687,1,1,1,9714,10884,9702,30272,15608,20670,17506,25886,21272
406.1167@8.3465,43724,38060,50764,18011,1,14146,20064,1,1,25909,23384,23755,26762,31685,31389
328.1226@8.344857,120863,101437,42696,40555,49538,27072,27592,58011,23222,87554,76021,70117,67408,1,80082
618.2926@8.345266,331510,273106,273560,48946,43277,52756,77877,80203,109568,178923,113725,169205,160583,174932,151250
186.0885@8.345734,83927,71504,76347,28151,22903,24208,46507,32654,33098,62763,42512,49148,53187,50371,49158
385.097@8.345668,89283,83219,85842,38859,32150,34241,43252,44643,40572,59736,49488,54130,56597,67036,57905
370.1396@8.346534,31299,32743,28186,17676,18601,17138,22032,22373,22642,29511,23143,25337,27271,29261,27369
334.137@8.345643,39004,40216,35219,1,19921,23816,26822,25355,31740,31735,29626,28974,32595,31333,35501
244.1306@8.378357,163584,164679,161524,72693,58249,53421,98312,1,109218,113473,68553,86258,104002,116012,109534
301.225@8.394733,94245,82640,89663,68645,57319,71897,67687,64027,64576,59754,37322,48056,27591,32085,26048
138.1038@8.417357,71068,73418,73640,26594,1,24810,31784,28846,28356,51134,36751,47083,40563,37576,35191
156.1144@8.417071,176752,166067,177194,61706,1,59777,72134,75613,70144,108109,84858,114351,94841,102506,86437
368.2405@8.479769,173027,19615,141833,127995,126488,129419,135740,37130,143919,1,1,109583,150995,44908,171719
385.2669@8.479799,75445,69077,61308,67562,1,64171,70732,1,1,1,1,55666,93922,78575,79728
272.1623@8.393666,3772108,3395533,3459930,1301273,1159729,1197275,11781,1599165,1646828,21860,28444,17541,13841,2386381,2278836
214.1201@8.527928,351149,315474,324884,65846,76214,87192,1,76225,85060,122783,107762,262237,219392,252826,248302
232.1305@8.527133,828901,692379,822112,124933,32743,184824,164226,179490,169584,224213,285820,88510,556930,577600,576904
215.152@8.583154,77972,75549,67564,1,1,28640,27467,27138,24234,36061,22980,39235,30109,40895,31441
1395.5564@8.682867,3355700,2034731,1634018,2263195,2259442,2436931,991476,1066607,1032412,7243434,3400147,6777045,3355785,2537010,3282082
465.1863@8.68323,87476,64432,46364,62156,1,60983,1,46879,38514,168086,102578,167107,106072,70885,70979
1448.4713@8.685924,286941,133201,163816,203908,166574,172750,86883,82340,75784,1,1,487682,333786,247882,336953
1237.4866@8.683468,218123,1380604,1222192,2501039,2210087,2520969,1583056,1636756,1656851,1149820,589849,1189823,698861,542673,730556
1290.4001@8.684923,132249,84494,79226,140750,147001,156161,108404,99310,105790,48779,1,45675,35532,1,51149
1461.5023@8.68491,91844,39638,53277,37791,64441,56879,1,1,1,1,111865,183977,124379,74144,106481
247.1599@8.692286,158023,127117,137527,98192,99537,109672,107537,103357,106854,87566,66784,87986,51357,46847,1
176.0828@8.721251,166203,34013,179186,1,21653,1,27675,18547,22783,29451,1,11038,30624,34939,27565
1059.5352@8.735667,339561,270431,268834,502885,501687,652557,272439,258829,207597,184421,58453,180593,288554,210400,258113
332.1368@8.7932005,863901,462007,998593,86352,62973,105823,74945,94745,156789,37215,56387,90369,120836,138506,135115
284.0956@8.820071,92238,92096,98102,34655,33426,40080,60828,51689,53437,54993,46164,48581,51810,1,59517
366.1897@8.820499,32256,28606,33481,1,1,1,13784,1,16030,20417,1,15350,15879,19985,13560
362.0918@8.8207,37781,35331,36502,1,1,1,21717,1,1,23716,20141,20572,21652,24009,20424
404.1579@8.820143,42002,40683,38561,21035,22906,26158,1,29238,29240,31766,27416,26301,32936,31713,27110
228.1359@8.8206005,884176,793113,820402,312749,263373,299967,396111,392553,406409,438192,338963,436376,427623,467190,449722
263.1729@8.820133,413384,393843,367280,197722,142478,151196,238224,231920,235829,241935,189023,267392,217458,230766,239588
142.0623@8.820858,105635,108130,106331,34217,31099,55029,61776,45517,59862,45612,44627,56994,1,75542,78333
246.1465@8.820467,6634778,5596995,6101156,2203615,2032200,2187765,2885387,2830379,3026104,3339420,2445984,2902078,3013262,3386587,3130292
344.12@8.820133,339495,320119,336375,133801,129777,150936,188153,175355,196168,192793,153086,160321,197293,222914,206892
328.1426@8.821,56494,55188,60974,25697,23546,32392,35583,36041,37275,38024,27652,35926,35373,43666,36076
530.2404@8.820416,233233,205269,229867,1,1,1,55709,53204,75833,68847,49754,54911,57280,84905,62583
359.0845@8.820401,117924,101954,110667,45717,43777,43408,60184,54642,54022,62737,49527,53497,67181,77053,66960
268.2215@8.821401,112286,94754,112022,1,1,37903,48763,1,1,55993,1,38611,53002,60019,55407
124.0523@8.822066,130791,125942,137569,49296,39759,46896,58761,63405,67172,67457,55175,71863,63380,73925,75351
291.2041@8.820201,146775,225350,115556,48456,92439,63333,101214,83601,60368,101316,57430,93494,98247,64738,67523
338.2299@8.828251,1,137887,168914,16471,122134,110201,130706,138091,150223,126911,1,79674,1,187576,184058
286.2618@8.8373575,37235,30498,32829,31555,1,37345,33674,29246,32701,33280,36131,31851,35841,36372,30583
675.9982@8.865615,1,26448,1,67874,59190,59363,48807,46117,48003,54958,35217,49112,44657,45788,44547
313.2249@8.818601,202105,213617,162558,235694,161261,185875,233549,215706,191763,277783,119052,66460,93381,101591,75685
675.6637@8.868,35638,28728,29596,64253,62728,63539,48550,52211,47297,57509,34813,48329,48929,49478,50023
215.1518@8.872667,133613,143095,149576,148402,146137,157033,80914,132864,144869,166750,175267,165302,199682,199846,195482
188.1043@8.8742,284080,220658,334559,1,1,39040,1,29972,52594,1,1,129160,127729,104619,113204
223.1206@8.9685335,55177,50183,53105,28490,26941,28802,20298,22115,19601,25038,23019,42177,20985,22457,21626
202.1199@8.968643,63510,339570,377784,182654,181183,191192,219928,210186,216387,141883,1,140734,138472,135195,148329
360.1301@8.9658575,38318,34169,47133,25537,28178,27380,26220,28281,28462,20288,1,22665,18339,17404,16103
300.092@8.969466,58346,50519,61778,28901,29352,35647,33595,32628,35887,25518,23164,23765,19060,24199,24550
184.1092@8.9727335,235020,231933,218249,113865,104378,113663,162235,137292,146575,90599,76184,93953,83453,85824,80439
312.1541@8.985499,1,48204,42260,1,30045,1,32014,1,1,76091,64699,66642,62389,81697,66550
582.2476@8.980786,83179,92275,161706,19910,30009,93606,65778,92494,117941,93735,1,68940,63618,58680,91281
486.2139@8.987933,76112,71428,74799,27375,24393,27232,39654,34789,39230,30298,27417,29112,26141,24165,25461
286.1774@9.0068655,73017,72633,68565,33747,35028,24548,40385,42524,45943,49776,35470,43979,43686,45897,46353
152.0834@9.022082,50453,31248,45634,15384,1,22627,1,19972,18173,34519,1,21768,26260,23612,35715
355.0846@9.027286,79943,62057,50052,35107,1,37125,33962,52073,37473,75758,41680,28529,49031,70233,47322
124.0884@9.021533,177839,160240,157730,81706,66387,72429,101880,114189,105472,167233,126061,122725,125417,149278,218371
548.2127@9.023456,171569,168577,141096,64756,47409,1,138510,1,1,1,108956,75313,154176,120734,192627
798.3683@9.024273,1,18414,39052,1,1,1,21985,14984,18128,21190,20589,16622,19745,27927,17504
829.2994@9.022918,32232,28776,23561,1,1,1,14237,12884,12399,30599,20556,14553,20240,21286,18445
142.0985@9.029166,949786,1,782496,355159,430991,1,1,382932,556314,872198,698987,407084,683236,793889,723794
545.2063@9.023637,449124,399875,367006,136592,169367,1,232936,1,1,1,311978,221492,311544,335105,317588
814.3329@9.026363,1,34169,22720,1,1,9733,15959,15403,23527,28434,20367,16724,1,21321,19817
299.0599@9.030286,110982,97105,102976,37703,31195,40578,40779,39497,42976,1,77872,50748,59017,90487,87009
434.1824@9.040923,80191,90480,46632,76814,1,76630,81530,74631,52143,85535,1,55443,103844,100971,108735
277.1883@9.031866,163490,154104,110110,113317,61028,82150,77050,84374,112584,100625,128267,82720,122436,121256,107466
530.2403@9.0234,1608920,2211158,1579757,665384,504171,594942,858549,804510,867382,1443571,1334441,1002488,1024093,1231858,1562637
522.2614@9.019834,1,1,75408,42908,30698,40949,51164,1,46386,79848,56083,54006,54225,70344,63112
548.2552@9.046693,1,32644,31618,12026,1,10592,11970,11583,24641,25308,16226,15650,31190,35271,19762
359.0836@9.035534,415146,310470,416621,296386,225721,259006,312831,177078,266481,371005,236509,199035,367048,390576,354655
263.1729@9.030267,633605,637096,531786,362584,266171,264691,466932,496322,471015,666223,465047,524354,447664,473192,478470
362.0895@9.038083,127265,87368,105672,109614,1,92556,84712,1,53221,112790,102154,75271,1,86382,108556
319.199@9.030399,87449,87742,94363,70944,72550,64467,71480,116182,56686,178215,126700,104575,138248,90880,107234
228.1354@9.025733,1.08E+07,6541833,9021384,4873946,3961840,4297578,6728103,4399166,4092045,6844827,4839904,7217952,7439575,5659495,5433961
291.2041@9.032599,491165,831278,355251,281496,496570,340122,620809,561723,432602,592257,398970,494908,344560,346546,382372
246.1458@9.034133,1.06E+07,2.58E+07,2.49E+07,1.55E+07,1.27E+07,1.36E+07,1.83E+07,1.69E+07,1.71E+07,2.59E+07,1.90E+07,1.88E+07,2.09E+07,2.02E+07,1.89E+07
284.0954@9.034866,440034,463897,469778,182370,299677,316007,360915,341562,343565,321694,398139,362051,391424,417272,426260
344.1182@9.041067,1089387,1081828,1125670,697230,677550,737059,860723,806587,849736,1096288,917085,816455,912250,1060121,903615
366.1899@9.0305,81893,127472,123350,67706,60161,67515,48122,70791,1,66422,82729,85544,88051,73245,54517
350.1436@9.040693,14268,15485,38157,23261,24027,1,35131,33233,1,24721,39367,36970,39309,41018,39702
290.1103@9.0377,1,1,198241,132433,77042,144582,1,137457,1,157123,143892,162670,1,186330,98021
328.1402@9.049267,169193,191174,161781,111963,37956,107101,145530,47585,121790,198867,87712,154259,127382,144825,139766
312.1534@9.069083,1,56859,84596,78857,30765,38477,45600,1,1,101226,113895,74940,31137,121904,121688
272.1618@9.0682,579712,509753,241848,229949,180306,203648,143953,281619,281656,424873,358399,383659,391646,384164,362337
226.0512@9.085923,52641,1,48402,27175,1,24900,34628,35608,31077,32099,41456,39210,32893,39778,43597
530.2403@9.086583,905668,1,610363,258950,241000,195985,382784,382692,355315,705027,1,460741,481655,629771,1
548.2128@9.085923,110547,60828,52637,17680,19372,13925,47337,1,33305,72254,42352,40364,36106,90882,1
545.2064@9.086454,244748,231407,1,61296,1,38176,1,98825,70571,208033,1,118447,111255,174242,137417
514.2743@9.086462,381879,457924,299027,108271,103458,134923,161636,201913,214055,450832,186463,176739,252817,1,1
522.2614@9.087428,200649,1,151288,59016,33108,43348,76304,81718,72242,155838,91184,85692,99249,123664,104616
124.0884@9.0902,1,121386,98838,69933,53749,64139,86082,1,76311,137160,1,91221,91720,1,1
302.066@9.053,59470,1,23287,42916,26916,38647,49480,1,15076,48353,36265,16731,51392,20414,1
199.1569@9.134733,413802,407475,447118,431168,432367,447114,391230,381604,450261,408934,420399,350531,351732,341343,502313
253.1649@9.139001,164766,157017,203078,171133,165211,193022,147304,159660,186619,1,1,195830,226514,216168,241663
214.12@9.142532,260011,243000,239279,146583,123706,128408,130677,129214,187369,617932,255171,109118,469922,847295,174795
274.1524@9.142928,50342,42918,43406,24297,1,21480,23144,17284,40225,123551,43174,19926,108954,181237,82465
1089.4961@9.150534,1267689,941598,875662,1422942,1411202,1560249,1468420,1382486,1435455,109528,35759,94323,127689,102296,124629
231.1467@9.142133,68555,74891,54594,47402,44183,36568,44692,45303,52591,167170,68021,32656,135834,215474,137893
304.188@9.2052145,233449,194460,199717,63330,1,72082,73946,70507,83237,207823,159715,176028,177405,197114,186795
286.1773@9.205534,152122,143657,133518,52506,46861,51107,62428,56517,59072,159313,113573,137671,139204,147094,141060
181.1101@9.215417,61351,57956,65896,84047,70379,75452,79110,91018,86402,81712,1,79280,1,99465,1
382.2559@9.266214,222405,183642,34002,29833,1,23974,26652,160063,176308,148931,79780,113911,36648,42146,215025
463.1835@9.2695,89057,82682,87397,71260,56790,67247,22563,17889,23538,14995,1,9475,22806,26002,14478
240.1357@9.307584,109530,105376,37315,1,1,1,42788,12492,40144,78418,47397,34550,58367,60416,47357
592.3254@9.3378,88245,53822,81685,1,46024,44431,1,1,1,11411,1,16041,45410,32297,54728
189.1183@9.364201,405835,371228,397114,651036,587778,640079,590885,725198,458164,162062,434126,471552,389633,411234,464013
211.1566@9.3728,43158,47300,54854,49708,1,29932,1,57166,52278,33487,1,49803,1,42460,1
246.1462@9.368133,579942,488415,625007,85030,111533,127976,97975,92329,130347,134203,162541,395354,404604,441385,401455
214.1198@9.372401,39453,76252,48726,37962,22666,16719,26497,40674,87506,283619,113442,33050,203083,349616,177622
343.2261@9.385099,27113,1,24051,21131,22905,17668,1,19117,31034,16023,64512,23167,1,1,1
326.1697@9.416462,29993,28105,21557,14581,1,1,14199,16527,21253,42231,33118,25407,25255,33336,32080
248.1017@9.4393,1,33328,39890,21399,27893,1,1,1,1,20668,129307,226824,29506,33462,26102
594.3413@9.44723,310042,253719,264017,165962,144368,160882,66205,75375,78961,17208,17450,27595,1,144626,1
463.1836@9.470067,167345,140989,152574,133774,121109,99460,47931,61074,48335,38523,16262,22775,34070,53501,57401
344.1526@9.4868,40557,45091,40277,39645,38762,31493,40080,42744,31567,34624,32165,38527,47771,29552,32295
247.1778@9.482153,157765,252745,146315,1,126254,73430,119106,133598,1,63035,72116,153020,124220,76030,87284
448.205@9.481533,371693,289188,450163,31984,67694,74727,83887,83406,116579,38242,60689,193678,148125,158131,160155
315.0546@9.482401,421032,392550,426036,131595,162457,165429,186836,190396,207090,131521,183501,260312,260942,250892,276315
240.0686@9.482401,365970,348894,399553,130168,160138,164638,176328,169323,202533,140021,172097,261080,249426,243286,234570
644.3082@9.481734,1150565,995760,1270678,45260,119914,107069,146531,146537,212278,70071,135998,442832,316201,284591,323968
318.0641@9.482142,125772,125192,115305,42801,53371,1,66211,60840,73574,41373,54851,79258,90204,93891,87309
219.1466@9.482466,1209389,1119111,1157695,271657,368584,350828,435509,498206,480133,325242,371933,784012,631003,535781,565314
246.0846@9.481867,117080,97854,126798,36530,44853,78774,65525,46965,85489,46410,43200,80691,75578,101689,94538
457.1537@9.481934,755877,642092,797535,69354,119974,118502,149003,148797,182460,79155,136466,317657,272816,258082,284307
124.0884@9.482467,1211707,1079411,1275851,216734,299038,295509,345847,360708,411322,235342,299225,653107,537143,474467,538201
134.0725@9.482215,280621,268629,297141,1,83351,78550,88689,91469,111172,64459,81814,165522,146518,145784,142462
300.0906@9.4824295,1124288,1071624,1195860,341858,468527,1,517466,518069,601905,390252,484176,804103,711154,700801,728566
442.1879@9.482133,1928837,1711872,2083918,279302,417176,446946,508129,522198,669013,321132,476124,1080284,857951,829996,887127
460.1603@9.481934,269781,231389,286223,26378,39789,39631,49750,48178,67080,27993,45017,110361,95507,91301,97761
202.1197@9.482266,2.70E+07,2.35E+07,2.75E+07,6092986,7835375,8272180,9148238,9361177,1.10E+07,6570077,8400850,1.55E+07,1.35E+07,1.29E+07,1.35E+07
184.1089@9.482199,1.30E+07,1.15E+07,1.35E+07,2093288,2948263,2945372,3485548,3757224,4151064,2377381,3113446,6787922,5588153,4900144,5395060
152.0832@9.482267,685323,589997,718336,120009,167353,164109,188083,200646,232788,132275,182050,370711,297299,275492,306188
502.2199@9.484267,100828,105032,111648,28399,43241,43698,51552,54775,63629,32285,47944,75897,76394,73335,77767
156.1144@9.481934,688192,611162,750694,116853,176781,173250,237647,225687,233887,128212,180517,394828,299484,273647,299837
96.094@9.4826145,200207,179167,215455,1,55032,47089,59311,66344,69373,1,50288,109913,90488,83988,90407
682.2556@9.481545,60295,58356,65181,1,1,15746,18460,20424,24403,1,1,39537,31659,29359,29574
262.1524@9.482332,1303582,1133436,1241323,327431,433076,400172,480655,479442,531409,365544,447310,724476,700562,617335,672093
275.1726@9.4825,92974,88548,1,26041,38951,1,47864,54980,33971,49195,45237,56601,1,36910,48891
233.1621@9.482462,90313,77516,68507,30052,1,26488,44363,46746,38389,34591,33868,52323,57940,41491,1
390.1563@9.4826,128274,140218,151234,63886,79100,90248,95361,96184,104355,69382,80097,130241,126947,106272,140815
375.0858@9.487399,40437,34854,27734,43888,58695,47666,53442,56165,54231,41595,60038,52214,67575,63874,60814
351.041@9.482429,65755,61206,66320,1,32736,34328,38719,36288,40475,26463,34771,33868,48405,47911,52503
306.1142@9.482733,104374,96423,122467,41734,55214,67721,63569,59331,74724,50562,62465,102385,78641,91272,79755
766.3749@9.494214,60318,42466,57828,12772,15492,1,20912,17693,31275,18147,13651,32466,28253,27084,29293
602.3046@9.5005,31315,23218,25812,17444,1,1,18282,18790,19915,21865,1,17682,21123,21708,21445
284.1126@9.491401,122943,153040,161916,39470,50470,95514,63127,122900,67512,47103,55625,128238,145505,145557,80204
559.2986@9.501071,33688,31191,28819,21582,20044,20072,23308,28931,21061,27486,1,26903,26745,22998,23112
782.3396@9.499154,21089,20685,20998,1,12740,12029,13785,12592,15299,12171,1,14827,16126,14570,14969
254.1151@9.508468,178833,165199,188174,92933,76000,75855,46369,45217,42016,46827,36458,53585,114317,116576,109748
564.2539@9.513133,41101,30835,37436,56956,40431,55463,45685,39678,43515,48931,28302,27257,35893,39084,38303
264.1353@9.526267,119940,78778,75344,83010,71660,43288,149120,79046,154760,164216,117302,80775,90879,93477,175261
463.1837@9.540734,263597,237385,252799,192488,189390,213536,64786,49408,57134,51431,28739,37667,49351,72056,60567
315.2404@9.549666,479431,461964,359959,685436,494406,513011,614765,529650,514084,654144,312367,226220,168051,186717,184469
417.1353@9.567142,121750,85575,142544,29728,30388,28823,28541,27872,26729,19157,1,20393,27493,33555,50773
522.3014@9.55275,58424,49238,52170,43074,1,1,45359,46607,55888,36819,1,33553,46824,57447,56248
327.2403@9.564333,92148,80850,57531,340536,222399,247761,158608,152868,125177,386327,119920,73894,91839,148970,94257
426.2824@9.596462,1,155813,193181,162706,159088,163415,183406,161273,177912,1,93955,132797,176707,219337,200484
443.309@9.597001,1,94673,88235,1,76479,83782,95774,102646,1,1,50981,79492,111324,107361,111181
332.1826@9.6669,34077,28280,20463,1,1,1,18205,18030,20445,24765,1,15992,1,20981,13316
360.1932@9.686334,84813,82014,96495,76368,68088,72083,73647,56987,76583,56969,24667,40727,68279,77164,74217
376.1086@9.71557,69581,48240,62346,24137,1,20493,36318,28722,30729,34197,31333,28723,31557,36090,34998
304.1262@9.716534,72869,60221,67819,30508,20073,32125,36781,33777,42594,49575,30409,40425,38464,44474,37087
298.1115@9.716642,131774,1,141709,62983,48946,53464,73428,78362,73089,95103,74084,89396,81383,85593,78215
305.2196@9.716,161159,250323,134539,56230,101787,57115,127477,121257,70809,134342,88413,116382,126535,84021,92651
277.1883@9.716066,311137,284365,287463,111059,103869,113041,151332,157406,141761,211605,139803,191693,188526,179793,176106
373.1011@9.715932,146234,140848,133852,61070,57011,57670,75652,69676,73222,93535,78499,81773,85921,91989,100900
558.2715@9.7162,369270,328026,353510,57317,39635,52616,91174,69098,77437,129507,93693,106869,109490,134756,103133
260.1621@9.716,9227264,8234020,8724268,2987447,2746680,3024719,3942286,3726828,4062453,5377015,3934619,4672564,4594744,5146873,4774820
238.1199@9.704818,1,128602,1,144391,21734,258874,208283,151976,1,1,175725,132302,114096,81705,27328
380.2057@9.715266,75764,67194,75085,27322,25736,28332,34580,30489,39333,45473,33990,38755,37017,50316,42203
156.0782@9.7154,227701,210812,221022,74816,71049,79451,100322,101036,110019,150824,114326,131346,123220,124244,116368
358.1356@9.716199,433704,419179,445755,197055,175813,179890,233415,231346,227552,299083,248668,294957,267043,293457,272683
418.1735@9.716642,57167,54126,57806,1,28041,32049,34568,34176,36938,45889,39594,39224,34901,35961,34867
573.2383@9.715917,1,70010,71707,8723,1,1,15114,13797,13569,26446,17497,22578,22192,26798,20738
242.1513@9.716266,872400,823657,782652,294653,277247,306225,398510,370108,379254,529344,380152,474421,473195,497117,499826
364.1581@9.717076,31321,26884,31577,12621,1,13801,1,13864,18488,19637,14469,21200,18073,20416,23586
282.2379@9.7158,216255,185610,186201,1,1,1,84358,1,89340,118255,83583,104041,99656,1,103908
342.1604@9.716534,77433,71783,67747,39314,33507,35207,42115,41599,42532,58492,44838,53284,47924,51455,46750
448.1981@9.717133,36832,32205,36182,15902,16600,18329,21169,23100,23750,27339,22629,29271,27560,24432,31254
564.2876@9.715083,53538,39146,52146,1,1,1,10554,8637,12032,18415,10971,18460,12229,16952,14003
240.1344@9.763363,85888,84647,87353,1,42963,39278,1,1,1,35524,69705,138755,41107,34458,46162
252.1334@9.768785,59975,1,59974,40469,44757,45966,29028,26059,27689,43564,32969,34970,37076,42117,40707
