Sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
291.0173@1.2743638,30849,32936,1,23255,37967,43862,42794,1,28205,24423,1,26623,35905,36513,1
406.163@1.2871667,1,18495,29696,36103,71574,35528,45608,36798,25431,77494,84326,103214,1,1,45756
204.089@1.2789998,5.21E+07,4.45E+07,4.61E+07,5.90E+07,5.73E+07,5.73E+07,4.70E+07,4.68E+07,4.71E+07,6.44E+07,4.30E+07,6.16E+07,4.92E+07,4.93E+07,4.89E+07
187.063@1.2792141,1.46E+07,1.26E+07,1.34E+07,1.64E+07,1.57E+07,1,1.32E+07,1.31E+07,1.33E+07,1.72E+07,1.21E+07,1.69E+07,1.34E+07,1.42E+07,1.39E+07
236.0794@1.2947272,1,40965,47357,77084,132513,121522,1,1,74600,199058,208690,181979,122292,1,77035
650.216@1.2965,32967,1,1,40940,70052,36759,48194,1,43537,88712,35215,43309,64422,34444,74470
159.0683@1.3072859,169912,240590,260520,347813,314991,329852,306892,197875,229070,476471,361307,240827,1,233329,316228
218.072@1.3442667,110664,143540,104711,346344,240730,456690,203205,402257,137075,524698,290867,808158,428861,325370,461070
291.0169@1.4155382,59390,1,38417,61513,83123,68187,62863,54299,53751,34887,1,40362,49311,61129,49978
140.0449@1.4213846,98804,97529,85529,143727,169379,162898,1,104792,1,63120,53476,51910,115093,105373,111469
219.1101@1.4457692,70373,39749,1,40039,32761,39976,50126,29799,30844,51149,40388,42930,1,47301,52648
366.1424@1.5696665,1,81314,62454,203872,1,66411,1,201510,172314,651409,610250,203977,101196,276323,114713
219.1102@1.63,56128,65116,51594,40072,27824,36161,53041,21016,52278,47032,30915,39624,40815,52627,1
228.0309@1.8936666,206406,115359,1,159381,116072,176314,461510,443403,1,1,164551,148158,148098,434259,467986
303.0172@1.9080771,51469,58522,50287,64426,19855,98716,43773,106758,1,45268,44045,77360,41620,1,44763
613.3181@1.8855454,134575,1,79600,292445,257156,324234,1,175231,85371,103594,1,52038,113423,122916,1
208.016@1.974909,77684,145387,214916,1,166450,1,373582,1,131323,146110,187777,467422,256136,128664,1
260.1367@1.9874616,108297,87712,48333,163349,181515,176712,112348,68061,76188,166565,109026,155772,1,1,117075
131.0366@2.0394616,1,1,230909,431510,281414,298121,428083,620696,595859,492709,453376,359200,459549,392533,461328
288.0533@2.1026156,41123,51412,162929,148603,15541,31296,104830,1,135158,138942,14183,54239,168809,1,194977
613.3184@2.422667,344347,224027,294389,525343,502958,482377,285363,293587,262428,157804,67404,130896,171909,176673,169975
245.1625@2.5918,1,187458,222793,561306,491411,485571,317453,318303,1,416340,261575,296378,1,1,1
246.1363@2.6674545,316441,1,281188,166197,167321,131177,258624,1,160570,92409,187984,133556,510389,1,1
159.1254@2.8658,219781,175225,214325,232547,210103,200433,205180,191930,196748,175742,120848,180822,157067,155730,151801
179.0577@2.9395716,1894453,1566342,1787035,3699654,3254762,3321669,1153268,755060,1232171,1450149,1182569,976550,2310041,2378872,1
129.1511@2.9138668,1.28E+07,1.90E+07,2.19E+07,9189212,2.09E+07,1.80E+07,1.23E+07,9399226,7498454,1.37E+07,4881321,4860013,1.07E+07,7267272,9264525
294.2798@2.9090717,249735,574117,567031,124252,501800,374268,196201,125047,80828,228056,1,34889,142171,83192,123063
352.0136@2.9638,85791,35655,1,85892,132911,140317,50632,1,19068,33454,1,30761,89992,1,1
337.0507@2.9958,51345,1,30703,1,46546,1,30238,26099,1,1,24128,21952,33328,64646,36977
189.0996@3.2492,117572,73870,1,1,76222,76920,1,135185,1,254321,1,38293,112197,105975,112393
194.0549@3.2551537,219309,186502,186325,85832,85020,42354,1,66819,1,132198,83659,108664,105492,99663,122696
238.0815@3.3886,78777,113904,69318,40520,1,1,1,43606,1,47123,51317,65950,1,69068,47637
198.0886@3.3682725,98472,98456,52811,44840,1,1,25816,1,12205,24071,1,27317,33361,28005,27458
180.0644@3.4823334,658706,524729,636134,4685861,4487854,4666515,2414877,2383262,2495066,510075,345755,462617,1759542,1914173,1843402
353.0193@3.4826362,25953,1,1,155556,142357,142758,81711,80112,80722,1,1,17748,60838,75239,60140
184.1206@3.5532856,435123,340953,393875,349485,312469,338627,239855,215890,206886,224496,150338,77713,166297,1,165360
264.1108@3.7093337,1196190,1441649,1525647,948153,671731,689209,1127420,1233228,1322364,943072,591528,864232,721530,648395,702776
